GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm
35,Road,12.5,2.6,4.5,0.5,0.1,1.8,Dennis Schroder,
31,Home,12.6,2.4,4.5,1,0.2,1.5,Dennis Schroder,
66,ALL,12.6,2.5,4.5,0.8,0.2,1.7,Dennis Schroder,LAL
27,Home,8.7,3.6,4.7,1.4,0.5,1.6,Dennis Smith Jr.,
54,ALL,8.8,3.1,4.8,1.4,0.5,1.5,Dennis Smith Jr.,CHO
27,Road,8.9,2.6,5,1.4,0.4,1.5,Dennis Smith Jr.,
2,ALL,0,0,0,0,0,0,Deonte Burton,SAC
5,Road,0.8,0.2,0,0,0,0,Dereon Seabron,
5,ALL,0.8,0.2,0,0,0,0,Dereon Seabron,NOP
34,Home,4.3,2,0.5,0.5,0.5,0.3,Derrick Jones Jr.,
64,ALL,5,2.4,0.5,0.5,0.6,0.4,Derrick Jones Jr.,CHI
30,Road,5.8,2.8,0.6,0.4,0.7,0.5,Derrick Jones Jr.,
27,ALL,5.6,1.5,1.7,0.3,0.2,0.8,Derrick Rose,NYK
15,Road,5.3,1.7,1.7,0.3,0.3,0.8,Derrick Rose,
12,Home,6,1.2,1.8,0.2,0,0.8,Derrick Rose,
82,ALL,12.4,3.6,3.9,0.7,0.9,1.2,Derrick White,BOS
41,Road,12.3,3.3,3.8,0.5,1,1,Derrick White,
41,Home,12.5,3.8,4,0.8,0.8,1.3,Derrick White,
29,Road,21.2,5.8,4.3,0.7,0.4,2.1,Desmond Bane,
29,Home,21.8,4.2,4.4,1.3,0.4,2.2,Desmond Bane,
58,ALL,21.5,5,4.4,1,0.4,2.2,Desmond Bane,MEM
28,Home,28.1,4.4,5.5,0.9,0.5,2.8,Devin Booker,
25,Road,27.4,4.7,5.6,1.1,0.2,2.6,Devin Booker,
53,ALL,27.8,4.5,5.5,1,0.3,2.7,Devin Booker,PHO
38,ALL,18.5,3.9,3.6,1.1,0.4,1.5,Devin Vassell,SAS
20,Home,18.8,3.7,3.6,1,0.5,1.5,Devin Vassell,
18,Road,18.1,4.1,3.5,1.3,0.4,1.5,Devin Vassell,
6,ALL,0.5,1.7,1.3,0.8,0,0.5,Devon Dotson,WAS
33,Home,7.3,1.7,2.5,0.4,0.2,0.8,Devonte' Graham,
40,Road,7.4,1.6,2.8,0.8,0.3,0.7,Devonte' Graham,
73,ALL,7.4,1.7,2.7,0.6,0.2,0.7,Devonte' Graham,TOT
38,ALL,5.2,3.5,0.7,0.2,0.5,0.7,Dewayne Dedmon,TOT
36,Road,15.5,3.6,2.6,1,0.2,1.6,Dillon Brooks,
73,ALL,14.3,3.3,2.6,0.9,0.2,1.4,Dillon Brooks,MEM
37,Home,13.2,3.1,2.6,0.8,0.3,1.3,Dillon Brooks,
39,Home,19.1,12.1,8.1,0.8,0.4,3.3,Domantas Sabonis,
40,Road,19.1,12.6,6.5,0.8,0.6,2.6,Domantas Sabonis,
79,ALL,19.1,12.3,7.3,0.8,0.5,2.9,Domantas Sabonis,SAC
28,ALL,3.9,3.6,0.9,0.4,0.7,0.5,Dominick Barlow,SAS
17,Road,4.6,4.3,0.8,0.4,0.8,0.5,Dominick Barlow,
