Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
455,39,Home,7.5,4.5,1.8,0.5,0.4,0.8,Grant Williams,,1629684.0,8.4,0.045,0.138,0.129,0.567,0.096
457,40,Road,8.7,4.6,1.5,0.5,0.4,1.2,Grant Williams,,1629684.0,3.6,0.04,0.131,0.128,0.641,0.077
458,72,ALL,10.4,3.3,2.3,0.9,0.2,1.0,Grayson Allen,MIL,1628960.0,4.9,0.03,0.082,0.143,0.612,0.107
459,37,Home,11.1,3.5,2.2,1.0,0.1,0.8,Grayson Allen,,1628960.0,9.3,0.033,0.089,0.143,0.648,0.104
460,35,Road,9.7,3.0,2.3,0.7,0.3,1.2,Grayson Allen,,1628960.0,0.3,0.028,0.074,0.142,0.574,0.11
463,16,ALL,1.8,1.2,0.2,0.3,0.3,0.4,Greg Brown III,POR,1630535.0,-3.4,0.019,0.175,0.17,0.421,0.055
462,10,Home,1.8,0.9,0.3,0.1,0.1,0.2,Greg Brown III,,1630535.0,-8.9,0.0,0.237,0.19,0.501,0.15
461,6,Road,1.7,1.7,0.0,0.5,0.7,0.7,Greg Brown III,,1630535.0,1.0,0.034,0.136,0.152,0.326,0.0
464,56,ALL,9.3,3.5,1.0,0.9,0.3,1.3,Hamidou Diallo,DET,1628977.0,-0.6,0.056,0.136,0.21,0.593,0.088
466,82,ALL,15.0,4.5,1.6,0.7,0.1,1.0,Harrison Barnes,SAC,203084.0,4.8,0.034,0.107,0.168,0.632,0.063
465,41,Home,15.8,4.2,1.7,0.8,0.1,0.9,Harrison Barnes,,203084.0,4.2,0.033,0.104,0.17,0.643,0.065
467,41,Road,14.2,4.7,1.5,0.6,0.1,1.2,Harrison Barnes,,203084.0,5.4,0.035,0.109,0.167,0.621,0.06
468,54,ALL,4.4,3.5,0.8,0.7,0.3,0.8,Haywood Highsmith,MIA,1629312.0,-5.2,0.055,0.135,0.121,0.517,0.065
470,26,Home,4.0,3.2,0.9,0.6,0.3,0.9,Haywood Highsmith,,1629312.0,-6.5,0.046,0.134,0.112,0.528,0.069
469,28,Road,4.7,3.8,0.7,0.8,0.3,0.8,Haywood Highsmith,,1629312.0,-4.0,0.064,0.136,0.128,0.508,0.062
471,66,ALL,9.8,4.1,2.5,1.6,0.6,1.3,Herbert Jones,NOP,1630529.0,3.9,0.051,0.089,0.144,0.567,0.108
472,32,Home,10.0,4.1,2.1,1.3,0.8,1.5,Herbert Jones,,1630529.0,7.3,0.047,0.089,0.15,0.543,0.091
